pig_id ,total_records ,unique_dates ,start_times_recorded ,end_times_recorded
CO-001 ,            1 ,           1 ,                   1 ,                 0
CO-002 ,            1 ,           1 ,                   1 ,                 0
CO-003 ,            1 ,           1 ,                   1 ,                 1
CO-004 ,            1 ,           1 ,                   1 ,                 1
CO-005 ,            1 ,           1 ,                   1 ,                 0
CO-006 ,            1 ,           1 ,                   1 ,                 1
CO-007 ,            1 ,           1 ,                   1 ,                 0
CO-008 ,            1 ,           1 ,                   1 ,                 0
CO-009 ,            1 ,           1 ,                   1 ,                 0
CO-010 ,            1 ,           1 ,                   1 ,                 0
CO-011 ,            1 ,           1 ,                   1 ,                 1
CO-012 ,            1 ,           1 ,                   1 ,                 1
CO-013 ,            1 ,           1 ,                   1 ,                 1
CO-014 ,            1 ,           1 ,                   1 ,                 0
CO-015 ,            1 ,           1 ,                   1 ,                 0
CO-016 ,            1 ,           1 ,                   1 ,                 1
CO-017 ,            1 ,           1 ,                   1 ,                 1
CO-019 ,            1 ,           1 ,                   1 ,                 0
CO-020 ,            1 ,           1 ,                   1 ,                 0
CO-021 ,            1 ,           1 ,                   1 ,                 1
CO-022 ,            1 ,           1 ,                   1 ,                 1
CO-023 ,            1 ,           1 ,                   1 ,                 1
CO-024 ,            1 ,           1 ,                   1 ,                 0
CO-026 ,            1 ,           1 ,                   1 ,                 1
CO-027 ,            1 ,           1 ,                   1 ,                 1
CO-028 ,            1 ,           1 ,                   1 ,                 1
CO-029 ,            1 ,           1 ,                   1 ,                 0
CO-030 ,            1 ,           1 ,                   1 ,                 1
CO-031 ,            1 ,           1 ,                   1 ,                 1
CO-032 ,            1 ,           1 ,                   1 ,                 1
CO-035 ,            1 ,           1 ,                   1 ,                 1
CO-036 ,            1 ,           1 ,                   1 ,                 1
CO-037 ,            1 ,           1 ,                   1 ,                 1
CO-039 ,            1 ,           1 ,                   1 ,                 1
CO-040 ,            1 ,           1 ,                   1 ,                 1
CO-041 ,            1 ,           1 ,                   1 ,                 1
CO-042 ,            1 ,           1 ,                   1 ,                 1
FL-003 ,            2 ,           2 ,                   2 ,                 1
FL-004 ,            1 ,           1 ,                   1 ,                 1
FL-005 ,            1 ,           1 ,                   1 ,                 1
FL-006 ,            1 ,           1 ,                   1 ,                 1
FL-007 ,            1 ,           1 ,                   1 ,                 1
FL-008 ,            1 ,           1 ,                   1 ,                 1
FL-009 ,            1 ,           1 ,                   1 ,                 0
FL-010 ,            1 ,           1 ,                   0 ,                 1
FL-011 ,            1 ,           1 ,                   1 ,                 1
FL-013 ,            1 ,           1 ,                   1 ,                 0
FL-014 ,            1 ,           1 ,                   1 ,                 1
FL-016 ,            1 ,           1 ,                   1 ,                 0
FL-017 ,            1 ,           1 ,                   1 ,                 1
FL-018 ,            1 ,           1 ,                   1 ,                 0
FL-019 ,            1 ,           1 ,                   1 ,                 1
FL-021 ,            1 ,           1 ,                   1 ,                 0
FL-022 ,            1 ,           1 ,                   1 ,                 0
FL-023 ,            1 ,           1 ,                   1 ,                 0
FL-025 ,            1 ,           1 ,                   1 ,                 1
FL-026 ,            1 ,           1 ,                   1 ,                 1
FL-027 ,            1 ,           1 ,                   1 ,                 1
FL-031 ,            1 ,           1 ,                   1 ,                 1
FL-032 ,            1 ,           1 ,                   0 ,                 0
FL-033 ,            1 ,           1 ,                   1 ,                 1
FL-035 ,            1 ,           1 ,                   1 ,                 1
FL-036 ,            1 ,           1 ,                   1 ,                 0
